code,name,province,city
110100,市辖区,11,1
120100,市辖区,12,1
130100,石家庄市,13,1
130200,唐山市,13,2
130300,秦皇岛市,13,3
130400,邯郸市,13,4
130500,邢台市,13,5
130600,保定市,13,6
130700,张家口市,13,7
130800,承德市,13,8
130900,沧州市,13,9
131000,廊坊市,13,10
131100,衡水市,13,11
140100,太原市,14,1
140200,大同市,14,2
140300,阳泉市,14,3
140400,长治市,14,4
140500,晋城市,14,5
140600,朔州市,14,6
140700,晋中市,14,7
140800,运城市,14,8
140900,忻州市,14,9
141000,临汾市,14,10
141100,吕梁市,14,11
150100,呼和浩特市,15,1
150200,包头市,15,2
150300,乌海市,15,3
150400,赤峰市,15,4
150500,通辽市,15,5
150600,鄂尔多斯市,15,6
150700,呼伦贝尔市,15,7
150800,巴彦淖尔市,15,8
150900,乌兰察布市,15,9
152200,兴安盟,15,22
152500,锡林郭勒盟,15,25
152900,阿拉善盟,15,29
210100,沈阳市,21,1
210200,大连市,21,2
210300,鞍山市,21,3
210400,抚顺市,21,4
210500,本溪市,21,5
210600,丹东市,21,6
210700,锦州市,21,7
210800,营口市,21,8
210900,阜新市,21,9
211000,辽阳市,21,10
211100,盘锦市,21,11
211200,铁岭市,21,12
211300,朝阳市,21,13
211400,葫芦岛市,21,14
220100,长春市,22,1
220200,吉林市,22,2
220300,四平市,22,3
220400,辽源市,22,4
220500,通化市,22,5
220600,白山市,22,6
220700,松原市,22,7
220800,白城市,22,8
222400,延边朝鲜族自治州,22,24
230100,哈尔滨市,23,1
230200,齐齐哈尔市,23,2
230300,鸡西市,23,3
230400,鹤岗市,23,4
230500,双鸭山市,23,5
230600,大庆市,23,6
230700,伊春市,23,7
230800,佳木斯市,23,8
230900,七台河市,23,9
231000,牡丹江市,23,10
231100,黑河市,23,11
231200,绥化市,23,12
232700,大兴安岭地区,23,27
310100,市辖区,31,1
320100,南京市,32,1
320200,无锡市,32,2
320300,徐州市,32,3
320400,常州市,32,4
320500,苏州市,32,5
320600,南通市,32,6
320700,连云港市,32,7
320800,淮安市,32,8
320900,盐城市,32,9
321000,扬州市,32,10
321100,镇江市,32,11
321200,泰州市,32,12
321300,宿迁市,32,13
330100,杭州市,33,1
330200,宁波市,33,2
330300,温州市,33,3
330400,嘉兴市,33,4
330500,湖州市,33,5
330600,绍兴市,33,6
330700,金华市,33,7
330800,衢州市,33,8
330900,舟山市,33,9
331000,台州市,33,10
331100,丽水市,33,11
340100,合肥市,34,1
340200,芜湖市,34,2
340300,蚌埠市,34,3
340400,淮南市,34,4
340500,马鞍山市,34,5
340600,淮北市,34,6
340700,铜陵市,34,7
340800,安庆市,34,8
341000,黄山市,34,10
341100,滁州市,34,11
341200,阜阳市,34,12
341300,宿州市,34,13
341500,六安市,34,15
341600,亳州市,34,16
341700,池州市,34,17
341800,宣城市,34,18
350100,福州市,35,1
350200,厦门市,35,2
350300,莆田市,35,3
350400,三明市,35,4
350500,泉州市,35,5
350600,漳州市,35,6
350700,南平市,35,7
350800,龙岩市,35,8
350900,宁德市,35,9
360100,南昌市,36,1
360200,景德镇市,36,2
360300,萍乡市,36,3
360400,九江市,36,4
360500,新余市,36,5
360600,鹰潭市,36,6
360700,赣州市,36,7
360800,吉安市,36,8
360900,宜春市,36,9
361000,抚州市,36,10
361100,上饶市,36,11
370100,济南市,37,1
370200,青岛市,37,2
370300,淄博市,37,3
370400,枣庄市,37,4
370500,东营市,37,5
370600,烟台市,37,6
370700,潍坊市,37,7
370800,济宁市,37,8
370900,泰安市,37,9
371000,威海市,37,10
371100,日照市,37,11
371300,临沂市,37,13
371400,德州市,37,14
371500,聊城市,37,15
371600,滨州市,37,16
371700,菏泽市,37,17
410100,郑州市,41,1
410200,开封市,41,2
410300,洛阳市,41,3
410400,平顶山市,41,4
410500,安阳市,41,5
410600,鹤壁市,41,6
410700,新乡市,41,7
410800,焦作市,41,8
410900,濮阳市,41,9
411000,许昌市,41,10
411100,漯河市,41,11
411200,三门峡市,41,12
411300,南阳市,41,13
411400,商丘市,41,14
411500,信阳市,41,15
411600,周口市,41,16
411700,驻马店市,41,17
419000,省直辖县级行政区划,41,90
420100,武汉市,42,1
420200,黄石市,42,2
420300,十堰市,42,3
420500,宜昌市,42,5
420600,襄阳市,42,6
420700,鄂州市,42,7
420800,荆门市,42,8
420900,孝感市,42,9
421000,荆州市,42,10
421100,黄冈市,42,11
421200,咸宁市,42,12
421300,随州市,42,13
422800,恩施土家族苗族自治州,42,28
429000,省直辖县级行政区划,42,90
430100,长沙市,43,1
430200,株洲市,43,2
430300,湘潭市,43,3
430400,衡阳市,43,4
430500,邵阳市,43,5
430600,岳阳市,43,6
430700,常德市,43,7
430800,张家界市,43,8
430900,益阳市,43,9
431000,郴州市,43,10
431100,永州市,43,11
431200,怀化市,43,12
431300,娄底市,43,13
433100,湘西土家族苗族自治州,43,31
440100,广州市,44,1
440200,韶关市,44,2
440300,深圳市,44,3
440400,珠海市,44,4
440500,汕头市,44,5
440600,佛山市,44,6
440700,江门市,44,7
440800,湛江市,44,8
440900,茂名市,44,9
441200,肇庆市,44,12
441300,惠州市,44,13
441400,梅州市,44,14
441500,汕尾市,44,15
441600,河源市,44,16
441700,阳江市,44,17
441800,清远市,44,18
441900,东莞市,44,19
442000,中山市,44,20
445100,潮州市,44,51
445200,揭阳市,44,52
445300,云浮市,44,53
450100,南宁市,45,1
450200,柳州市,45,2
450300,桂林市,45,3
450400,梧州市,45,4
450500,北海市,45,5
450600,防城港市,45,6
450700,钦州市,45,7
450800,贵港市,45,8
450900,玉林市,45,9
451000,百色市,45,10
451100,贺州市,45,11
451200,河池市,45,12
451300,来宾市,45,13
451400,崇左市,45,14
460100,海口市,46,1
460200,三亚市,46,2
460300,三沙市,46,3
460400,儋州市,46,4
469000,省直辖县级行政区划,46,90
500100,市辖区,50,1
500200,县,50,2
510100,成都市,51,1
510300,自贡市,51,3
510400,攀枝花市,51,4
510500,泸州市,51,5
510600,德阳市,51,6
510700,绵阳市,51,7
510800,广元市,51,8
510900,遂宁市,51,9
511000,内江市,51,10
511100,乐山市,51,11
511300,南充市,51,13
511400,眉山市,51,14
511500,宜宾市,51,15
511600,广安市,51,16
511700,达州市,51,17
511800,雅安市,51,18
511900,巴中市,51,19
512000,资阳市,51,20
513200,阿坝藏族羌族自治州,51,32
513300,甘孜藏族自治州,51,33
513400,凉山彝族自治州,51,34
520100,贵阳市,52,1
520200,六盘水市,52,2
520300,遵义市,52,3
520400,安顺市,52,4
520500,毕节市,52,5
520600,铜仁市,52,6
522300,黔西南布依族苗族自治州,52,23
522600,黔东南苗族侗族自治州,52,26
522700,黔南布依族苗族自治州,52,27
530100,昆明市,53,1
530300,曲靖市,53,3
530400,玉溪市,53,4
530500,保山市,53,5
530600,昭通市,53,6
530700,丽江市,53,7
530800,普洱市,53,8
530900,临沧市,53,9
532300,楚雄彝族自治州,53,23
532500,红河哈尼族彝族自治州,53,25
532600,文山壮族苗族自治州,53,26
532800,西双版纳傣族自治州,53,28
532900,大理白族自治州,53,29
533100,德宏傣族景颇族自治州,53,31
533300,怒江傈僳族自治州,53,33
533400,迪庆藏族自治州,53,34
540100,拉萨市,54,1
540200,日喀则市,54,2
540300,昌都市,54,3
540400,林芝市,54,4
540500,山南市,54,5
540600,那曲市,54,6
542500,阿里地区,54,25
610100,西安市,61,1
610200,铜川市,61,2
610300,宝鸡市,61,3
610400,咸阳市,61,4
610500,渭南市,61,5
610600,延安市,61,6
610700,汉中市,61,7
610800,榆林市,61,8
610900,安康市,61,9
611000,商洛市,61,10
620100,兰州市,62,1
620200,嘉峪关市,62,2
620300,金昌市,62,3
620400,白银市,62,4
620500,天水市,62,5
620600,武威市,62,6
620700,张掖市,62,7
620800,平凉市,62,8
620900,酒泉市,62,9
621000,庆阳市,62,10
621100,定西市,62,11
621200,陇南市,62,12
622900,临夏回族自治州,62,29
623000,甘南藏族自治州,62,30
630100,西宁市,63,1
630200,海东市,63,2
